2020-05-14 15:49:40: "Preparing scheduled sync"
2020-05-14 15:49:40: "Starting scheduled sync"
2020-05-14 15:49:44: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:49:44: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:49:44: "Operations completed: "
2020-05-14 15:49:44: "fetchingTotal: -"
2020-05-14 15:49:44: "Total folders: 23"
2020-05-14 15:49:44: "Total notes: 344"
2020-05-14 15:49:44: "Total resources: 23"
2020-05-14 15:49:45: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 15:54:08: "RevisionService::maintenance: Starting..."
2020-05-14 15:54:08: "RevisionService::maintenance: Service is enabled"
2020-05-14 15:54:09: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-05-14 15:54:09: "RevisionService::maintenance: Done in 104ms"
2020-05-14 15:54:44: "Running background sync on timer..."
2020-05-14 15:54:44: "Scheduling sync operation...", "0"
2020-05-14 15:54:44: "Preparing scheduled sync"
2020-05-14 15:54:44: "Starting scheduled sync"
2020-05-14 15:54:49: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:54:49: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:54:49: "Operations completed: "
2020-05-14 15:54:49: "fetchingTotal: -"
2020-05-14 15:54:49: "Total folders: 23"
2020-05-14 15:54:49: "Total notes: 344"
2020-05-14 15:54:49: "Total resources: 23"
2020-05-14 15:54:50: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 15:59:49: "Running background sync on timer..."
2020-05-14 15:59:49: "Scheduling sync operation...", "0"
2020-05-14 15:59:49: "Preparing scheduled sync"
2020-05-14 15:59:49: "Starting scheduled sync"
2020-05-14 15:59:53: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 15:59:53: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 15:59:53: "Operations completed: "
2020-05-14 15:59:53: "fetchingTotal: -"
2020-05-14 15:59:53: "Total folders: 23"
2020-05-14 15:59:53: "Total notes: 344"
2020-05-14 15:59:53: "Total resources: 23"
2020-05-14 15:59:54: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 16:04:08: "RevisionService::maintenance: Starting..."
2020-05-14 16:04:08: "RevisionService::maintenance: Service is enabled"
2020-05-14 16:04:09: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-05-14 16:04:09: "RevisionService::maintenance: Done in 104ms"
2020-05-14 16:04:53: "Running background sync on timer..."
2020-05-14 16:04:53: "Scheduling sync operation...", "0"
2020-05-14 16:04:53: "Preparing scheduled sync"
2020-05-14 16:04:53: "Starting scheduled sync"
2020-05-14 16:04:57: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 16:04:57: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 16:04:58: "Operations completed: "
2020-05-14 16:04:58: "fetchingTotal: -"
2020-05-14 16:04:58: "Total folders: 23"
2020-05-14 16:04:58: "Total notes: 344"
2020-05-14 16:04:58: "Total resources: 23"
2020-05-14 16:04:59: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 16:09:58: "Running background sync on timer..."
2020-05-14 16:09:58: "Scheduling sync operation...", "0"
2020-05-14 16:09:58: "Preparing scheduled sync"
2020-05-14 16:09:58: "Starting scheduled sync"
2020-05-14 16:10:01: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 16:10:01: "TaskQueue.stop: syncDownload: Done, waited for 0"
2020-05-14 16:10:02: "Operations completed: "
2020-05-14 16:10:02: "fetchingTotal: -"
2020-05-14 16:10:02: "Total folders: 23"
2020-05-14 16:10:02: "Total notes: 344"
2020-05-14 16:10:02: "Total resources: 23"
2020-05-14 16:10:03: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-05-14 16:14:08: "RevisionService::maintenance: Starting..."
2020-05-14 16:14:08: "RevisionService::maintenance: Service is enabled"
2020-05-14 16:14:09: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-05-14 16:14:09: "RevisionService::maintenance: Done in 107ms"
2020-05-14 16:15:02: "Running background sync on timer..."
2020-05-14 16:15:02: "Scheduling sync operation...", "0"
2020-05-14 16:15:02: "Preparing scheduled sync"
2020-05-14 16:15:02: "Starting scheduled sync"
2020-05-14 16:15:04: "TaskQueue.stop: syncDownload: waiting for tasks to complete: 0"
2020-05-14 16:15:04: "TaskQueue.stop: syncDownload: Done, waited for 0"
